2025-07-06 15:25:54,019 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:54,598 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:55,392 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:56,140 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:56,857 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:57,446 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:58,007 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:58,614 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:59,382 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:59,950 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:00,499 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:01,167 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:01,804 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:02,371 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:02,969 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:03,515 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:04,105 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:04,673 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:05,224 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:05,985 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:06,768 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:07,398 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:08,219 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:08,797 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:09,356 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:09,969 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:10,760 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:11,550 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:12,145 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:12,866 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:26:13,544 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:26:14,085 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:45:04,169 | ERROR | utils.database | Failed to retrieve latest snapshot ID: (pymysql.err.ProgrammingError) (1146, "Table 'optionchaindata.optionchain_snapshots' doesn't exist")
[SQL: SELECT MAX(SNAPSHOT_ID) FROM optionchain_snapshots]
(Background on this error at: https://sqlalche.me/e/20/f405)
2025-07-06 16:45:26,377 | ERROR | utils.database | Failed to retrieve latest snapshot ID: (pymysql.err.ProgrammingError) (1146, "Table 'optionchaindata.optionchain_snapshots' doesn't exist")
[SQL: SELECT MAX(SNAPSHOT_ID) FROM optionchain_snapshots]
(Background on this error at: https://sqlalche.me/e/20/f405)
2025-07-06 16:46:00,363 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:00,993 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:01,588 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:02,277 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:02,861 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:03,480 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:04,239 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:04,895 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:05,647 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:06,235 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:06,967 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:07,564 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:08,137 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:08,669 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:09,230 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:09,910 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:10,502 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:11,052 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:46:11,635 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:46:12,352 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
